Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,Release,Task
Human,5,5,1,22,Auditory,TR,1,1,1.149150937,NaN,Point
Human,5,5,1,23,Auditory,TR,5,5,4.964921588,NaN,Point
Human,5,5,1,24,Auditory,TR,5,5,5.514927304,NaN,Point
Human,5,5,1,25,Auditory,TR,1,1,1.099519134,NaN,Point
Human,5,5,1,26,Auditory,TR,3,3,3.06564156,NaN,Point
Human,5,5,1,27,Auditory,TR,7,7,7.180541188,NaN,Point
Human,5,5,1,28,Auditory,TR,5,5,10.14662291,NaN,Point
Human,5,5,1,29,Auditory,TR,7,7,7.81358628,NaN,Point
Human,5,5,1,30,Auditory,TR,3,3,2.88237274,NaN,Point
Human,6,6,1,1,Auditory,TR,5,5,3.232032449,NaN,Point
Human,6,6,1,2,Auditory,TR,9,9,6.547547288,NaN,Point
Human,6,6,1,3,Auditory,TR,5,5,4.615042084,NaN,Point
Human,6,6,1,4,Auditory,TR,3,3,2.715634319,NaN,Point
Human,6,6,1,5,Auditory,TR,3,3,2.682284187,NaN,Point
Human,6,6,1,6,Auditory,TR,9,9,5.697835761,NaN,Point
Human,6,6,1,7,Auditory,TR,9,9,6.514069394,NaN,Point
Human,6,6,1,8,Auditory,TR,3,3,3.382079909,NaN,Point
Human,6,6,1,9,Auditory,TR,1,1,0.832916308,NaN,Point
Human,6,6,1,10,Auditory,TR,9,9,6.980547614,NaN,Point
Human,6,6,1,11,Auditory,TR,3,3,3.714897122,NaN,Point
Human,6,6,1,12,Auditory,TR,5,5,3.498968702,NaN,Point
Human,6,6,1,13,Auditory,TR,1,1,1.249397466,NaN,Point
Human,6,6,1,14,Auditory,TR,7,7,5.197847794,NaN,Point
Human,6,6,1,15,Auditory,TR,3,3,3.182155717,NaN,Point
Human,6,6,1,16,Auditory,TR,5,5,4.898172968,NaN,Point
Human,6,6,1,17,Auditory,TR,7,7,5.447699682,NaN,Point
Human,6,6,1,18,Auditory,TR,7,7,6.647396663,NaN,Point
Human,6,6,1,19,Auditory,TR,1,1,1.149498897,NaN,Point
Human,6,6,1,20,Auditory,TR,7,7,6.813270686,NaN,Point
Human,6,6,1,21,Auditory,TR,1,1,0.766431929,NaN,Point
Human,6,6,1,22,Auditory,TR,5,5,5.247947845,NaN,Point
Human,6,6,1,23,Auditory,TR,1,1,1.332312181,NaN,Point
Human,6,6,1,24,Auditory,TR,7,7,5.631136912,NaN,Point
Human,6,6,1,25,Auditory,TR,5,5,6.480842776,NaN,Point
Human,6,6,1,26,Auditory,TR,7,7,7.580512365,NaN,Point
Human,6,6,1,27,Auditory,TR,1,1,1.149366888,NaN,Point
Human,6,6,1,28,Auditory,TR,9,9,12.26168279,NaN,Point
Human,6,6,1,29,Auditory,TR,9,9,6.947377623,NaN,Point
Human,6,6,1,30,Auditory,TR,3,3,3.065565271,NaN,Point
Human,6,6,2,1,Auditory,TR,7,7,4.964735915,7.313920822,Range
Human,6,6,2,2,Auditory,TR,9,9,6.930769623,9.229799269,Range
Human,6,6,2,3,Auditory,TR,5,5,3.015466636,6.097676713,Range
Human,6,6,2,4,Auditory,TR,3,3,2.115849709,4.36543758,Range
Human,6,6,2,5,Auditory,TR,5,5,3.815396986,5.964417395,Range
Human,6,6,2,6,Auditory,TR,9,9,8.73002471,11.24572245,Range
Human,6,6,2,7,Auditory,TR,7,7,7.430580634,9.763348299,Range
Human,6,6,2,8,Auditory,TR,5,5,4.797947385,6.747394681,Range
Human,6,6,2,9,Auditory,TR,9,9,6.930353423,9.929419451,Range
Human,6,6,2,10,Auditory,TR,7,7,6.064238457,8.113534775,Range
Human,6,6,2,11,Auditory,TR,3,3,2.21543719,4.24821434,Range
Human,6,6,2,12,Auditory,TR,3,3,1.799665978,3.382260758,Range
Human,6,6,2,13,Auditory,TR,1,1,0.416391265,2.082341379,Range
Human,6,6,2,14,Auditory,TR,3,3,2.398909811,3.7984917,Range
Human,6,6,2,15,Auditory,TR,5,5,4.481596254,5.730658211,Range
Human,6,6,2,16,Auditory,TR,3,3,1.732720099,3.798644944,Range
Human,6,6,2,17,Auditory,TR,1,1,0.499742353,2.199199736,Range
Human,6,6,2,18,Auditory,TR,9,9,7.496936543,10.16251682,Range
Human,6,6,2,19,Auditory,TR,1,1,0.583333038,1.849521476,Range
Human,6,6,2,20,Auditory,TR,9,9,6.164395735,8.146787936,Range
Human,6,6,2,21,Auditory,TR,1,1,0.799216511,2.315818141,Range
Human,6,6,2,22,Auditory,TR,5,5,3.731906103,5.980985756,Range
Human,6,6,2,23,Auditory,TR,7,7,6.730046299,9.996102374,Range
Human,6,6,2,24,Auditory,TR,1,1,0.433165957,1.616262724,Range
Human,6,6,2,25,Auditory,TR,9,9,6.047062075,8.529400835,Range
Human,6,6,2,26,Auditory,TR,5,5,4.464884204,7.013965697,Range
Human,6,6,2,27,Auditory,TR,1,1,0.399805207,1.449468531,Range
Human,6,6,2,28,Auditory,TR,7,7,4.748362629,7.613734381,Range
Human,6,6,2,29,Auditory,TR,3,3,2.532341485,4.848155732,Range
Human,6,6,2,30,Auditory,TR,7,7,5.897598216,8.880051289,Range
Human,7,7,2,1,Auditory,TR,7,7,4.231527074,6.31402956,Range
Human,7,7,2,2,Auditory,TR,5,5,1.932938882,4.081937281,Range
Human,7,7,2,3,Auditory,TR,1,1,0.30466812,1.620989996,Range
Human,7,7,2,4,Auditory,TR,1,1,0.532954029,1.682776346,Range
Human,7,7,2,5,Auditory,TR,7,7,2.798876457,7.114011652,Range
Human,7,7,2,6,Auditory,TR,7,7,3.682031706,7.197447414,Range
Human,7,7,2,7,Auditory,TR,7,7,2.26581413,6.730687762,Range
Human,7,7,2,8,Auditory,TR,3,3,0.499743942,2.948778759,Range
Human,7,7,2,9,Auditory,TR,9,9,2.23244938,8.546910364,Range
Human,7,7,2,10,Auditory,TR,5,5,2.998831015,5.714683668,Range
Human,7,7,2,11,Auditory,TR,9,9,2.282591885,7.363986258,Range
Human,7,7,2,12,Auditory,TR,5,5,1.116189298,6.11414437,Range
Human,7,7,2,13,Auditory,TR,9,9,3.848498351,9.163341918,Range
Human,7,7,2,14,Auditory,TR,5,5,0.999537431,5.1147209,Range
Human,7,7,2,15,Auditory,TR,7,7,1.866044104,6.680889972,Range
Human,7,7,2,16,Auditory,TR,1,1,0.366687347,1.832415333,Range
